Date/Time - Peak Brightness (UT),Latitude (Deg),Longitude (Deg),Altitude (km),Velocity (km/s),Velocity Components (km/s): vx,Velocity Components (km/s): vy,Velocity Components (km/s): vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2/20/2013 13:13,23.0S,38.8W,,,-11,-8,-1,"32,000,000,000",0.1
1/8/2014 17:05,1.3S,147.6E,18.7,,-3.4,-43.5,-10.3,"31,000,000,000",0.11
5/8/2014 19:42,36.9S,87.3E,35.4,,-2,-16.1,9.9,"1,050,000,000,000",2.4
4/21/2013 6:23,28.1S,64.6W,40.7,,5,14,1,"1,070,000,000,000",2.5
12/13/2014 2:53,86.7N,162.1W,30.7,,15.3,-13.3,-7.8,"44,000,000,000",0.15
9/9/2014 18:55,3.2N,137.2E,32.5,,,,,"28,000,000,000",0.098
11/26/2014 23:16,69.5S,179.7W,23.3,,21.3,2.2,13.4,"118,000,000,000",0.35
3/8/2015 4:26,39.1S,118.6W,,,,,,"20,000,000,000",0.073
1/2/2015 13:39,31.1S,140.0E,38.1,,4.5,-14.4,-10,"20,000,000,000",0.073
3/11/2015 6:18,8.0N,119.1E,35.2,,5.5,-10.5,-16,"72,000,000,000",0.23
6/26/2014 5:54,71.5S,93.4E,28.5,,7,2.9,8.3,"61,000,000,000",0.2
10/6/2014 20:02,43.7S,85.7E,,,,,,"39,000,000,000",0.13
1/12/2014 16:00,2.9N,64.4E,37,,-5.2,-15.1,2.6,"78,000,000,000",0.24
11/28/2014 11:47,45.8S,172.7W,26.1,,0.4,-1.4,13.3,"700,000,000,000",1.7
10/14/2014 10:25,2.0S,119.2E,27.2,,15,-6.9,-3.5,"29,000,000,000",0.1
5/29/2014 1:12,21.9N,131.1W,28.7,,,,,"58,000,000,000",0.19
2/7/2013 13:12,18.8S,158.6W,,,,,,"65,000,000,000",0.21
5/14/2013 23:20,3.0S,76.4E,,,,,,"20,000,000,000",0.073
10/3/2012 22:50,41.5S,21.9W,,,-2.4,5.5,15.9,"280,000,000,000",0.75
12/30/2012 7:25,17.3N,83.6W,,,,,,"198,000,000,000",0.55
3/18/2015 0:04,5.4S,159.3E,50,,,,,"121,000,000,000",0.36
10/2/2012 16:38,8.1S,111.9W,35,,1.4,15.3,1,"470,000,000,000",1.2
9/28/2012 5:44,6.9S,73.7E,,,,,,"38,000,000,000",0.13
5/25/2012 11:31,41.8S,36.2W,,,,,,"60,000,000,000",0.19
11/20/2012 20:37,2.5N,29.6E,33.3,,-12.2,-5.3,5.3,"25,000,000,000",0.089
11/20/2012 6:25,8.0S,86.0W,,,,,,"120,000,000,000",0.36
10/19/2012 16:26,75.4S,49.6E,29.3,,-2.3,-3.9,12.4,"23,000,000,000",0.082
3/30/2015 21:33,36.1S,5.5W,33.1,,-13.7,-1.7,0.8,"64,000,000,000",0.2
10/9/2012 0:54,51.2N,84.6W,27.8,,3.4,12,5.1,"210,000,000,000",0.58
9/10/2012 1:03,69.8S,111.7W,23.8,,-10.2,-5.2,12.4,"23,000,000,000",0.082
4/8/2015 4:06,25.5S,51.5E,36.3,,8,-15.6,-7.9,"173,000,000,000",0.49
8/27/2012 6:57,18.3S,64.2E,38.7,,-8,-23.7,-14.5,"68,000,000,000",0.22
8/26/2012 14:55,11.8N,117.0E,36,,5,-11.6,-0.7,"249,000,000,000",0.68
9/18/2012 19:34,1.2N,52.2W,28.1,,-1.9,14.1,-11.5,"244,000,000,000",0.67
4/3/2015 1:39,8.4N,157.9W,,,,,,"42,000,000,000",0.14
9/11/2012 22:07,18.9S,105.2E,,,,,,"52,000,000,000",0.17
4/21/2012 16:08,15.8S,174.8W,,,,,,"143,000,000,000",0.42
4/30/2015 10:21,48.7S,139.1E,26.7,,12.2,-4.2,0.9,"105,000,000,000",0.32
7/27/2012 4:19,63.1N,172.3E,27.2,,,,,"34,000,000,000",0.12
5/4/2012 21:54,76.7N,10.6W,,,,,,"229,000,000,000",0.63
4/23/2012 22:01,36.2N,107.4E,25.2,,,,,"44,000,000,000",0.15
7/25/2012 7:48,36.4N,41.5E,26.8,,0.8,2,-18.4,"133,000,000,000",0.39
4/21/2015 1:42,37.7N,39.6W,37.4,,-15.3,12.8,7.4,"88,000,000,000",0.27
5/15/2012 11:04,61.8S,135.5W,33.3,,-0.8,1.1,17,"132,000,000,000",0.39
